t,dr_m,dY,dC,dC_direct,dC_indirect
82,1.13078e-10,-0.00216968,-0.00216968,-1.57025e-06,-0.00216811
83,9.04626e-11,-0.00214384,-0.00214384,-1.42397e-06,-0.00214242
84,7.23701e-11,-0.00211831,-0.00211831,-1.29134e-06,-0.00211702
85,5.7896e-11,-0.00209308,-0.00209308,-1.17106e-06,-0.00209191
86,4.63168e-11,-0.00206815,-0.00206815,-1.062e-06,-0.00206709
87,3.70535e-11,-0.00204352,-0.00204352,-9.63102e-07,-0.00204255
88,2.96428e-11,-0.00201918,-0.00201918,-8.73419e-07,-0.00201831
89,2.37142e-11,-0.00199513,-0.00199513,-7.92093e-07,-0.00199434
90,1.89714e-11,-0.00197137,-0.00197137,-7.18344e-07,-0.00197065
91,1.51771e-11,-0.00194789,-0.00194789,-6.51465e-07,-0.00194724
92,1.21417e-11,-0.00192469,-0.00192469,-5.90816e-07,-0.0019241
93,9.71334e-12,-0.00190177,-0.00190177,-5.35816e-07,-0.00190123
94,7.77068e-12,-0.00187912,-0.00187912,-4.85938e-07,-0.00187863
95,6.21654e-12,-0.00185674,-0.00185674,-4.40706e-07,-0.0018563
96,4.97323e-12,-0.00183462,-0.00183462,-3.99686e-07,-0.00183422
97,3.97859e-12,-0.00181277,-0.00181277,-3.62485e-07,-0.00181241
98,3.18287e-12,-0.00179118,-0.00179118,-3.28748e-07,-0.00179086
99,2.54629e-12,-0.00176985,-0.00176985,-2.98153e-07,-0.00176955
