m_val,a_val,dC_dr
6.69974,0.591716,0.00244318
7.70262,0.591716,0.00271349
8.77976,0.591716,0.0029929
9.9338,0.591716,0.00328239
11.1674,0.591716,0.00358285
12.4832,0.591716,0.00389514
13.8839,0.591716,0.00422008
15.3721,0.591716,0.00455843
16.9504,0.591716,0.00491096
18.6216,0.591716,0.00527839
20.3883,0.591716,0.00566143
22.253,0.591716,0.00606078
24.2186,0.591716,0.00647712
26.2875,0.591716,0.00691113
28.4626,0.591716,0.00736348
30.7464,0.591716,0.00783484
33.1415,0.591716,0.00832585
35.6507,0.591716,0.00883717
38.2766,0.591716,0.00936946
41.0218,0.591716,0.00992336
43.889,0.591716,0.0104995
46.8809,0.591716,0.0110986
50,0.591716,0.0117211
-2,1.05194,0
-1.99956,1.05194,0
-1.99646,1.05194,0
-1.98807,1.05194,0
-1.97171,1.05194,-0.0110768
-1.94475,1.05194,-0.0104218
-1.90453,1.05194,-0.00705827
-1.8484,1.05194,-0.00612341
-1.7737,1.05194,-0.00471434
-1.67779,1.05194,-0.00384745
-1.55801,1.05194,-0.00308077
-1.41171,1.05194,-0.00245732
-1.23624,1.05194,-0.00170272
-1.02894,1.05194,-0.0013036
-0.787172,1.05194,-0.000949882
-0.508275,1.05194,-0.000630029
-0.189598,1.05194,-0.000335464
0.17151,1.05194,-5.96362e-05
0.577701,1.05194,0.00020245
1.03163,1.05194,0.000454642
1.53594,1.05194,0.000700368
2.09329,1.05194,0.000942506
2.70634,1.05194,0.00118348
3.37773,1.05194,0.00142537
4.11011,1.05194,0.00166996
4.90614,1.05194,0.00191883
5.76846,1.05194,0.00217339
6.69974,1.05194,0.00243488
7.70262,1.05194,0.00270445
8.77976,1.05194,0.00298314
9.9338,1.05194,0.00327191
11.1674,1.05194,0.00357168
12.4832,1.05194,0.00388329
13.8839,1.05194,0.00420757
15.3721,1.05194,0.00454528
16.9504,1.05194,0.00489718
18.6216,1.05194,0.00526401
20.3883,1.05194,0.00564646
22.253,1.05194,0.00604524
24.2186,1.05194,0.00646103
26.2875,1.05194,0.00689452
28.4626,1.05194,0.00734637
30.7464,1.05194,0.00781724
33.1415,1.05194,0.00830779
35.6507,1.05194,0.00881867
38.2766,1.05194,0.00935055
41.0218,1.05194,0.00990405
43.889,1.05194,0.0104798
46.8809,1.05194,0.0110785
50,1.05194,0.0117008
-2,1.64366,0
-1.99956,1.64366,0
-1.99646,1.64366,0
-1.98807,1.64366,0
-1.97171,1.64366,-0.0110768
-1.94475,1.64366,-0.0104218
-1.90453,1.64366,-0.00705827
-1.8484,1.64366,-0.00612341
-1.7737,1.64366,-0.00471434
-1.67779,1.64366,-0.00384745
-1.55801,1.64366,-0.00308077
-1.41171,1.64366,-0.00245732
-1.23624,1.64366,-0.00170272
-1.02894,1.64366,-0.0013036
-0.787172,1.64366,-0.000949882
-0.508275,1.64366,-0.000630029
-0.189598,1.64366,-0.000335464
0.17151,1.64366,-5.96362e-05
0.577701,1.64366,0.00020245
1.03163,1.64366,0.000454642
1.53594,1.64366,0.000700368
2.09329,1.64366,0.000942506
2.70634,1.64366,0.00118348
3.37773,1.64366,0.00142537
4.11011,1.64366,0.00166996
4.90614,1.64366,0.00191883
5.76846,1.64366,0.00217339
6.69974,1.64366,0.00243488
7.70262,1.64366,0.00270445
8.77976,1.64366,0.00298314
9.9338,1.64366,0.00327191
11.1674,1.64366,0.00357168
12.4832,1.64366,0.00388329
13.8839,1.64366,0.00420757
15.3721,1.64366,0.00454528
16.9504,1.64366,0.00489718
18.6216,1.64366,0.00526401
20.3883,1.64366,0.00564646
22.253,1.64366,0.00604524
24.2186,1.64366,0.00646103
26.2875,1.64366,0.00689452
28.4626,1.64366,0.00734637
30.7464,1.64366,0.00781724
33.1415,1.64366,0.00830779
35.6507,1.64366,0.00881867
38.2766,1.64366,0.00935055
41.0218,1.64366,0.00990405
43.889,1.64366,0.0104798
46.8809,1.64366,0.0110785
50,1.64366,0.0117008
-2,2.36686,0
-1.99956,2.36686,0
-1.99646,2.36686,0
-1.98807,2.36686,0
-1.97171,2.36686,-0.0110768
-1.94475,2.36686,-0.0104218
-1.90453,2.36686,-0.00705827
-1.8484,2.36686,-0.00612341
-1.7737,2.36686,-0.00471434
-1.67779,2.36686,-0.00384745
-1.55801,2.36686,-0.00308077
-1.41171,2.36686,-0.00245732
-1.23624,2.36686,-0.00170272
-1.02894,2.36686,-0.0013036
-0.787172,2.36686,-0.000949882
-0.508275,2.36686,-0.000630029
-0.189598,2.36686,-0.000335464
0.17151,2.36686,-5.96362e-05
0.577701,2.36686,0.00020245
1.03163,2.36686,0.000454642
1.53594,2.36686,0.000700368
2.09329,2.36686,0.000942506
2.70634,2.36686,0.00118348
3.37773,2.36686,0.00142537
4.11011,2.36686,0.00166996
4.90614,2.36686,0.00191883
5.76846,2.36686,0.00217339
6.69974,2.36686,0.00243488
7.70262,2.36686,0.00270445
8.77976,2.36686,0.00298314
9.9338,2.36686,0.00327191
11.1674,2.36686,0.00357168
12.4832,2.36686,0.00388329
13.8839,2.36686,0.00420757
15.3721,2.36686,0.00454528
16.9504,2.36686,0.00489718
18.6216,2.36686,0.00526401
20.3883,2.36686,0.00564646
22.253,2.36686,0.00604524
24.2186,2.36686,0.00646103
26.2875,2.36686,0.00689452
28.4626,2.36686,0.00734637
30.7464,2.36686,0.00781724
33.1415,2.36686,0.00830779
35.6507,2.36686,0.00881867
38.2766,2.36686,0.00935055
41.0218,2.36686,0.00990405
43.889,2.36686,0.0104798
46.8809,2.36686,0.0110785
50,2.36686,0.0117008
-2,3.22156,0
-1.99956,3.22156,0
-1.99646,3.22156,0
-1.98807,3.22156,0
-1.97171,3.22156,-0.0110768
-1.94475,3.22156,-0.0104218
-1.90453,3.22156,-0.00705827
-1.8484,3.22156,-0.00612341
-1.7737,3.22156,-0.00471434
-1.67779,3.22156,-0.00384745
-1.55801,3.22156,-0.00308077
-1.41171,3.22156,-0.00245732
-1.23624,3.22156,-0.00170272
-1.02894,3.22156,-0.0013036
-0.787172,3.22156,-0.000949882
-0.508275,3.22156,-0.000630029
-0.189598,3.22156,-0.000335464
0.17151,3.22156,-5.96362e-05
0.577701,3.22156,0.00020245
1.03163,3.22156,0.000454642
1.53594,3.22156,0.000700368
2.09329,3.22156,0.000942506
2.70634,3.22156,0.00118348
3.37773,3.22156,0.00142537
4.11011,3.22156,0.00166996
4.90614,3.22156,0.00191883
5.76846,3.22156,0.00217339
6.69974,3.22156,0.00243488
7.70262,3.22156,0.00270445
8.77976,3.22156,0.00298314
9.9338,3.22156,0.00327191
11.1674,3.22156,0.00357168
12.4832,3.22156,0.00388329
13.8839,3.22156,0.00420757
15.3721,3.22156,0.00454528
16.9504,3.22156,0.00489718
18.6216,3.22156,0.00526401
20.3883,3.22156,0.00564646
