m_val,a_val,z_val,mass
-1.41171,0.591716,1.2,0.00125065
-1.23624,0.591716,1.2,0.00144556
-1.02894,0.591716,1.2,0.00157448
-0.787172,0.591716,1.2,0.00158249
-0.508275,0.591716,1.2,0.00141426
-0.189598,0.591716,1.2,0.001044
0.17151,0.591716,1.2,0.000538447
0.577701,0.591716,1.2,3.94318e-05
-2,100,1.2,0.0201363
-1.99956,100,1.2,0.000778952
-1.99646,100,1.2,0.000372533
-1.98807,100,1.2,0.00108589
-1.97171,100,1.2,0.00127943
-1.94475,100,1.2,0.00151979
-1.90453,100,1.2,0.00454223
-1.8484,100,1.2,0.0208829
-1.7737,100,1.2,0.0156063
-1.67779,100,1.2,0.0253066
-1.55801,100,1.2,0.0365393
-1.41171,100,1.2,0.044466
-1.23624,100,1.2,0.0514934
-1.02894,100,1.2,0.0562541
-0.787172,100,1.2,0.0568224
-0.508275,100,1.2,0.0512367
-0.189598,100,1.2,0.038509
0.17151,100,1.2,0.0208949
0.577701,100,1.2,0.00227323
