period,dZ,dr
173,1.21326e-10,-6.80507e-14
174,1.09193e-10,-6.12457e-14
175,9.82741e-11,-5.51211e-14
176,8.84467e-11,-4.9609e-14
177,7.9602e-11,-4.46481e-14
178,7.16418e-11,-4.01833e-14
179,6.44776e-11,-3.61649e-14
180,5.80299e-11,-3.25485e-14
181,5.22269e-11,-2.92936e-14
182,4.70042e-11,-2.63642e-14
183,4.23038e-11,-2.37278e-14
184,3.80734e-11,-2.1355e-14
185,3.42661e-11,-1.92195e-14
186,3.08395e-11,-1.72976e-14
187,2.77555e-11,-1.55678e-14
188,2.498e-11,-1.4011e-14
189,2.2482e-11,-1.26099e-14
190,2.02338e-11,-1.13489e-14
191,1.82104e-11,-1.0214e-14
192,1.63894e-11,-9.19264e-15
193,1.47504e-11,-8.27338e-15
194,1.32754e-11,-7.44604e-15
195,1.19478e-11,-6.70144e-15
196,1.07531e-11,-6.03129e-15
197,9.67775e-12,-5.42816e-15
198,8.70997e-12,-4.88535e-15
199,7.83898e-12,-4.39681e-15
