m_val,a_val,dC_dr
6.69974,0.591716,0.00234012
7.70262,0.591716,0.00260652
8.77976,0.591716,0.0028824
9.9338,0.591716,0.00316866
11.1674,0.591716,0.00346617
12.4832,0.591716,0.00377575
13.8839,0.591716,0.00409819
15.3721,0.591716,0.00443423
16.9504,0.591716,0.00478461
18.6216,0.591716,0.00515003
20.3883,0.591716,0.00553121
22.253,0.591716,0.00592881
24.2186,0.591716,0.00634353
26.2875,0.591716,0.00677602
28.4626,0.591716,0.00722696
30.7464,0.591716,0.00769699
33.1415,0.591716,0.00818679
35.6507,0.591716,0.00869699
38.2766,0.591716,0.00922826
41.0218,0.591716,0.00978122
43.889,0.591716,0.0103565
46.8809,0.591716,0.0109548
50,0.591716,0.0115768
-2,1.05194,0
-1.99956,1.05194,0
-1.99646,1.05194,0
-1.98807,1.05194,0
-1.97171,1.05194,-0.0112758
-1.94475,1.05194,-0.0101753
-1.90453,1.05194,-0.00709589
-1.8484,1.05194,-0.00595555
-1.7737,1.05194,-0.00464965
-1.67779,1.05194,-0.00375787
-1.55801,1.05194,-0.00260893
-1.41171,1.05194,-0.00209921
-1.23624,1.05194,-0.0016585
-1.02894,1.05194,-0.00127707
-0.787172,1.05194,-0.000939302
-0.508275,1.05194,-0.000633428
-0.189598,1.05194,-0.000351971
0.17151,1.05194,-8.85581e-05
0.577701,1.05194,0.000161973
1.03163,1.05194,0.000403755
1.53594,1.05194,0.000640146
2.09329,1.05194,0.000873922
2.70634,1.05194,0.00110741
3.37773,1.05194,0.0013426
4.11011,1.05194,0.0015812
4.90614,1.05194,0.0018247
5.76846,1.05194,0.00207443
6.69974,1.05194,0.00233158
7.70262,1.05194,0.00259722
8.77976,1.05194,0.00287235
9.9338,1.05194,0.00315788
11.1674,1.05194,0.00345468
12.4832,1.05194,0.00376357
13.8839,1.05194,0.00408533
15.3721,1.05194,0.00442071
16.9504,1.05194,0.00477046
18.6216,1.05194,0.00513527
20.3883,1.05194,0.00551584
22.253,1.05194,0.00591288
24.2186,1.05194,0.00632704
26.2875,1.05194,0.00675901
28.4626,1.05194,0.00720944
30.7464,1.05194,0.007679
33.1415,1.05194,0.00816833
35.6507,1.05194,0.00867811
38.2766,1.05194,0.00920896
41.0218,1.05194,0.00976154
43.889,1.05194,0.0103365
46.8809,1.05194,0.0109345
50,1.05194,0.0115561
-2,1.64366,0
-1.99956,1.64366,0
-1.99646,1.64366,0
-1.98807,1.64366,0
-1.97171,1.64366,-0.0112758
-1.94475,1.64366,-0.0101753
-1.90453,1.64366,-0.00709589
-1.8484,1.64366,-0.00595555
-1.7737,1.64366,-0.00464965
-1.67779,1.64366,-0.00375787
-1.55801,1.64366,-0.00260893
-1.41171,1.64366,-0.00209921
-1.23624,1.64366,-0.0016585
-1.02894,1.64366,-0.00127707
-0.787172,1.64366,-0.000939302
-0.508275,1.64366,-0.000633428
-0.189598,1.64366,-0.000351971
0.17151,1.64366,-8.85581e-05
0.577701,1.64366,0.000161973
1.03163,1.64366,0.000403755
1.53594,1.64366,0.000640146
2.09329,1.64366,0.000873922
2.70634,1.64366,0.00110741
3.37773,1.64366,0.0013426
4.11011,1.64366,0.0015812
4.90614,1.64366,0.0018247
5.76846,1.64366,0.00207443
6.69974,1.64366,0.00233158
7.70262,1.64366,0.00259722
8.77976,1.64366,0.00287235
9.9338,1.64366,0.00315788
11.1674,1.64366,0.00345468
12.4832,1.64366,0.00376357
13.8839,1.64366,0.00408533
15.3721,1.64366,0.00442071
16.9504,1.64366,0.00477046
18.6216,1.64366,0.00513527
20.3883,1.64366,0.00551584
22.253,1.64366,0.00591288
24.2186,1.64366,0.00632704
26.2875,1.64366,0.00675901
28.4626,1.64366,0.00720944
30.7464,1.64366,0.007679
33.1415,1.64366,0.00816833
35.6507,1.64366,0.00867811
38.2766,1.64366,0.00920896
41.0218,1.64366,0.00976154
43.889,1.64366,0.0103365
46.8809,1.64366,0.0109345
50,1.64366,0.0115561
-2,2.36686,0
-1.99956,2.36686,0
-1.99646,2.36686,0
-1.98807,2.36686,0
-1.97171,2.36686,-0.0112758
-1.94475,2.36686,-0.0101753
-1.90453,2.36686,-0.00709589
-1.8484,2.36686,-0.00595555
-1.7737,2.36686,-0.00464965
-1.67779,2.36686,-0.00375787
-1.55801,2.36686,-0.00260893
-1.41171,2.36686,-0.00209921
-1.23624,2.36686,-0.0016585
-1.02894,2.36686,-0.00127707
-0.787172,2.36686,-0.000939302
-0.508275,2.36686,-0.000633428
-0.189598,2.36686,-0.000351971
0.17151,2.36686,-8.85581e-05
0.577701,2.36686,0.000161973
1.03163,2.36686,0.000403755
1.53594,2.36686,0.000640146
2.09329,2.36686,0.000873922
2.70634,2.36686,0.00110741
3.37773,2.36686,0.0013426
4.11011,2.36686,0.0015812
4.90614,2.36686,0.0018247
5.76846,2.36686,0.00207443
6.69974,2.36686,0.00233158
7.70262,2.36686,0.00259722
8.77976,2.36686,0.00287235
9.9338,2.36686,0.00315788
11.1674,2.36686,0.00345468
12.4832,2.36686,0.00376357
13.8839,2.36686,0.00408533
15.3721,2.36686,0.00442071
16.9504,2.36686,0.00477046
18.6216,2.36686,0.00513527
20.3883,2.36686,0.00551584
22.253,2.36686,0.00591288
24.2186,2.36686,0.00632704
26.2875,2.36686,0.00675901
28.4626,2.36686,0.00720944
30.7464,2.36686,0.007679
33.1415,2.36686,0.00816833
35.6507,2.36686,0.00867811
38.2766,2.36686,0.00920896
41.0218,2.36686,0.00976154
