t,dK,dC
0,0,1.57579
1,98.4242,4.52834
2,72.637,3.34191
3,53.606,2.46633
4,39.5612,1.82015
5,29.1961,1.34327
6,21.5467,0.99133
7,15.9014,0.7316
8,11.7352,0.53992
9,8.6606,0.398461
10,6.39151,0.294063
11,4.71693,0.217019
12,3.48109,0.160159
13,2.56904,0.118198
14,1.89595,0.0872296
15,1.39921,0.0643754
16,1.03261,0.047509
17,0.762068,0.0350616
18,0.562405,0.0258754
19,0.415055,0.019096
