m_val,a_val,z_val,mass
-1.8484,0.591716,1.2,0.000566669
-1.7737,0.591716,1.2,0.0010547
-1.67779,0.591716,1.2,0.00137443
-1.55801,0.591716,1.2,0.00165796
-1.41171,0.591716,1.2,0.00185208
-1.23624,0.591716,1.2,0.00186068
-1.02894,0.591716,1.2,0.00156718
-0.787172,0.591716,1.2,0.000929432
-0.508275,0.591716,1.2,4.573e-05
-2,100,1.2,0.0237676
-1.99956,100,1.2,0.000435807
-1.99646,100,1.2,0.00100824
-1.98807,100,1.2,0.0011968
-1.97171,100,1.2,0.0016045
-1.94475,100,1.2,0.00226326
-1.90453,100,1.2,0.0263922
-1.8484,100,1.2,0.0198632
-1.7737,100,1.2,0.0371044
-1.67779,100,1.2,0.0487691
-1.55801,100,1.2,0.0589121
-1.41171,100,1.2,0.0660341
-1.23624,100,1.2,0.0667865
-1.02894,100,1.2,0.0570973
-0.787172,100,1.2,0.0356743
-0.508275,100,1.2,0.00309049
